number,title,labels,state,created_at,closed_at,time_open,repository,started_on_sprint,closed_on_sprint
15,Instanciar/Criar componentes da tela de resultados de busca,"['EASY', 'FEATURE', 'MDS', 'US']",closed,2021-03-13 16:41:50+00:00,2021-03-20 18:38:17+00:00,7 days 01:56:27,frontend,2,2
16,Criar componente de ultimos tweets da página inicial,"['EASY', 'FEATURE', 'MDS', 'US']",closed,2021-03-13 16:47:38+00:00,2021-03-20 18:38:06+00:00,7 days 01:50:28,frontend,2,2
17,Fazer breadcrumb ser conectado com o router,"['HARD', 'HOTFIX', 'MDS']",closed,2021-03-13 16:56:07+00:00,2021-03-20 18:38:20+00:00,7 days 01:42:13,frontend,2,2
