number,title,labels,state,created_at,closed_at,time_open,repository,started_on_sprint,closed_on_sprint
44,Atualizar campo de ultima atualização dos deputados,"['EASY', 'HOTFIX', 'MDS']",closed,2021-04-10 17:42:52+00:00,2021-04-16 01:01:06+00:00,5 days 07:18:14,frontend,6,6
45,Criar tweets para a página do deputado,"['FEATURE', 'MDS', 'MEDIUM', 'US']",closed,2021-04-11 12:59:35+00:00,2021-05-10 05:50:52+00:00,28 days 16:51:17,frontend,6,10
46,Criar logica para salvar gastos  de deputados,"['FEATURE', 'MDS', 'MEDIUM', 'US']",closed,2021-04-11 13:02:43+00:00,2021-04-24 17:27:50+00:00,13 days 04:25:07,frontend,6,7
47,Criar testes iniciais do frontend,"['EPS', 'MEDIUM']",closed,2021-04-11 13:17:40+00:00,2021-05-01 17:49:00+00:00,20 days 04:31:20,frontend,6,8
50,Fix #33 Projetos votados,"['FEATURE', 'HARD', 'MDS', 'US']",closed,2021-04-13 00:09:31+00:00,2021-04-20 18:27:31+00:00,7 days 18:18:00,frontend,6,7
