m1,m2,m3,repository,version,ncloc,asc1,ac1,total
0.6,0.2,1.0,etl_camara,2021-05-09 01:00:00,525,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_camara,2021-05-09 02:00:00,525,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_camara,2021-05-10 00:00:00,525,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_camara,2021-05-10 01:00:00,525,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6666666666666666,0.16666666666666666,1.0,etl_camara,2021-05-19 00:00:00,844,0.605,0.605,0.605
0.6,0.2,1.0,etl_news,2021-04-18 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-01 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-02 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-04 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-09 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-09 01:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-09 02:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-10 00:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6,0.2,1.0,etl_news,2021-05-10 01:00:00,164,0.5940000000000001,0.5940000000000001,0.5940000000000001
0.6666666666666666,0.16666666666666666,1.0,etl_news,2021-05-19 00:00:00,252,0.605,0.605,0.605
