number,title,labels,state,created_at,closed_at,time_open,repository,started_on_sprint,closed_on_sprint
2,US45 | Lista de deputados da home,"['FEATURE', 'HARD', 'MDS']",closed,2021-03-06 16:14:46+00:00,2021-03-13 16:29:19+00:00,7 days 00:14:33,frontend,1,1
3,Informações do perfil do deputado.,"['FEATURE', 'HARD', 'MDS']",closed,2021-03-06 16:15:47+00:00,2021-04-10 02:18:18+00:00,34 days 10:02:31,frontend,1,5
4,Documentação: Identidade visual,['DOCS'],closed,2021-03-06 16:24:03+00:00,2021-03-20 18:38:19+00:00,14 days 02:14:16,frontend,1,2
5,Migrar lean inception,['DOCS'],closed,2021-03-06 16:27:49+00:00,2021-03-20 18:37:59+00:00,14 days 02:10:10,frontend,1,2
6,Documento de visão,"['DOCS', 'FEATURE']",closed,2021-03-06 16:35:14+00:00,2021-03-20 18:38:01+00:00,14 days 02:02:47,frontend,1,2
7,Navegação superior,"['FEATURE', 'MDS', 'MEDIUM']",closed,2021-03-06 20:46:33+00:00,2021-03-13 16:13:06+00:00,6 days 19:26:33,frontend,1,1
8,Caminho de navegação,"['FEATURE', 'HARD', 'MDS']",closed,2021-03-06 20:53:07+00:00,2021-03-13 16:27:07+00:00,6 days 19:34:00,frontend,1,1
